Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),Total Acceleration (m/s2),Total Acceleration (g)
0.5083224,0.411815,-0.004789,9.871595,9.880183,2.38909,359.333801,10.278621,1.047769725
0.5103226,0.416604,0.011971,9.859624,9.868428,2.420426,1.645978,10.288199,1.048746075
0.5123239,0.402238,0.007183,9.821315,9.829551,2.345602,1.02303,10.230736,1.042888481
0.5143252,0.390267,0.002394,9.809344,9.817105,2.278385,0.351503,10.202005,1.039959735
0.5163283,0.368718,0.004789,9.77343,9.780384,2.160754,0.744059,10.146937,1.034346279
0.5183297,0.344776,0.004789,9.751882,9.757976,2.025067,0.795724,10.101447,1.029709174
0.520331,0.349564,-0.007183,9.75667,9.762933,2.052331,358.822845,10.099051,1.029464934
0.5223283,0.373507,-0.021548,9.766247,9.77341,2.193745,356.69812,10.118206,1.031417533
0.5243296,0.368718,-0.031126,9.802161,9.809143,2.161932,355.174774,10.139753,1.033613965
0.5263309,0.368718,-0.03352,9.818921,9.825899,2.159486,354.805573,10.154119,1.035078389
0.5283325,0.375901,-0.014366,9.794978,9.802199,2.199447,357.811432,10.156513,1.035322426
0.5303338,0.395055,0.004789,9.799767,9.807727,2.308595,0.69446,10.199611,1.039715698
0.5323352,0.387873,0.007183,9.799767,9.807442,2.266931,1.060912,10.194823,1.039227625
0.5343366,0.395055,-0.007183,9.818921,9.826868,2.304437,358.958374,10.206793,1.040447808
0.5363379,0.383084,-0.002394,9.826104,9.83357,2.232743,359.641907,10.206794,1.04044791
0.5383393,0.368718,-0.011971,9.845258,9.852167,2.14594,358.140411,10.202005,1.039959735
0.5403448,0.378295,-0.009577,9.852441,9.859705,2.199536,358.549774,10.221159,1.041912232
0.5423461,0.383084,-0.009577,9.838076,9.845536,2.230638,358.567902,10.211583,1.040936086
0.5443475,0.39745,-0.019154,9.835681,9.843727,2.316804,357.240906,10.213977,1.041180122
0.5463488,0.404632,0,9.80695,9.815293,2.362646,0,10.211582,1.040935984
0.5483502,0.407027,0,9.797373,9.805824,2.378992,0,10.2044,1.040203874
0.5503515,0.402238,0.004789,9.802161,9.810412,2.350104,0.68206,10.209188,1.040691947
0.5523532,0.416604,0.002394,9.794978,9.803834,2.435501,0.329282,10.213976,1.04118002
0.5543545,0.440547,0.007183,9.79019,9.800099,2.576862,0.934088,10.23792,1.043620795
0.5563558,0.481249,-0.014366,9.763853,9.775716,2.822928,358.290192,10.230736,1.042888481
0.5583562,0.512375,-0.040703,9.763853,9.777372,3.013374,355.458008,10.235525,1.043376656
0.5603576,0.533923,-0.047885,9.75667,9.771386,3.144916,354.875092,10.242708,1.044108869
0.5623589,0.584203,-0.045491,9.730332,9.74796,3.446226,355.547424,10.269044,1.046793476
0.5643603,0.598569,-0.062251,9.730332,9.748924,3.539059,354.062592,10.26665,1.046549439
0.5663616,0.600963,-0.062251,9.732727,9.751462,3.552202,354.08606,10.271439,1.047037615
0.568363,0.565049,-0.062251,9.70639,9.723022,3.351761,353.713104,10.209188,1.040691947
0.5703646,0.519558,-0.062251,9.699207,9.713312,3.088067,353.167633,10.156514,1.035322528
0.5723659,0.488432,-0.062251,9.689631,9.702132,2.908922,352.736755,10.115812,1.031173496
0.5743673,0.471672,-0.05028,9.684841,9.69645,2.804003,353.915314,10.106233,1.030197044
